company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Entertainment Network (India) Limited,71.15,0.0,0.0
Eon Electric Limited,61.75,4098030.0,39.26
Epigral Limited,71.58,0.0,0.0
Equinox India Developments Limited,0.16,0.0,0.0
Eris Lifesciences Limited,54.88,13823970.0,18.51
Eros International Media Limited,16.25,0.0,0.0
Esab India Limited,73.72,0.0,0.0
Escorts Kubota Limited,69.74,0.0,0.0
Essar Shipping Limited,73.75,0.0,0.0
Ester Industries Limited,62.4,0.0,0.0
Eureka Forbes Limited,62.56,64950000.0,53.66
Euro Ceramics Limited,10.09,3403895.0,99.99
Euro Multivision Limited,47.01,0.0,0.0
Eurotex Industries and Exports Limited,70.99,0.0,0.0
Eveready Industries India Limited,43.19,4573.0,0.01
Everest Industries Limited,50.15,0.0,0.0
Everest Kanto Cylinder Limited,67.39,0.0,0.0
Excel Industries Limited,52.92,2182.0,0.03
Excel Realty N Infra Limited,19.12,0.0,0.0
Exicom Tele-Systems Limited,69.57,2566585.0,3.05
Exide Industries Limited,45.99,0.0,0.0
Expleo Solutions Limited,71.05,0.0,0.0
FCS Software Solutions Limited,19.65,0.0,0.0
FDC Limited,69.66,0.0,0.0
Fedders Electric and Engineering Limited,100.0,0.0,0.0
Federal-Mogul Goetze (India) Limited.,74.98,0.0,0.0
Fertilizers and Chemicals Travancore Limited,90.0,0.0,0.0
Fiem Industries Limited,58.96,0.0,0.0
Filatex India Limited,64.76,0.0,0.0
Finolex Cables Limited,35.86,0.0,0.0
Finolex Industries Limited,52.82,0.0,0.0
Firstsource Solutions Limited,54.78,0.0,0.0
Five-Star Business Finance Limited,26.51,200.0,0.0
Flexituff Ventures International Limited,33.79,6648720.0,64.08
Foods & Inns Limited,16.01,1188000.0,10.17
Fortis Healthcare Limited,31.17,0.0,0.0
Foseco India Limited,74.98,0.0,0.0
Fusion Finance Limited,58.08,1620000.0,2.76
Future Consumer Limited,3.65,6341902.0,8.7
Future Enterprises Limited,16.37,45750000.0,61.44
Future Enterprises Limited,72.22,0.0,0.0
Future Lifestyle Fashions Limited,20.48,40968074.0,99.12
Future Market Networks Limited,65.31,36750000.0,97.78
Future Retail Limited,14.31,24162063.0,31.14
Future Supply Chain Solutions Limited,21.95,9632685.0,100.0
GACM Technologies Limited,0.08,0.0,0.0
GACM Technologies Limited,4.13,0.0,0.0
GAIL (India) Limited,52.3,0.0,0.0
GB Global Limited,99.95,4.0,0.0
GE Power India Limited,68.58,0.0,0.0
GE T&D India Limited,75.0,0.0,0.0
