symbol,market_cap
FMGOETZE,2601.36
FMNL,58.28
FOCE,658.78
FOCUS,532.82
FOODSIN,474.94
FORCAS,179.23
FORCEMOT,26026.73
FORTIS,69607.14
FOSECOIND,3545.53
FRACTAL,16083.04
FRESHARA,500.53
FROG,258.2
FRONTSP,1695.53
FSL,14880.75
FUSION,3090.59
GABRIEL,14722.79
GAEL,7131.87
GAIL,107647.53
GAJANAND,16.76
GALAPREC,949.58
GALAXYSURF,6626.49
GALLANTT,20627.11
GANDHAR,1356.12
GANDHITUBE,1006.19
GANECOS,2809.56
GANESHBE,719.89
GANESHCP,776.94
GANESHHOU,5506.88
GANESHIN,362.49
GANGABATH,52.97
GANGAFORGE,39.09
GANGESSECU,127.85
GARFIBRES,6104.85
GARUDA,1570.92
GATECH,55.14
GATECHDVR,9.1
GATEWAY,2881.95
GAUDIUMIVF,884.14
GAYAHWS,54.4
GAYAPROJ,335.46
GCHOTELS,240.35
GCSL,874.57
GEECEE,617.94
GEEKAYWIRE,274.89
GEMAROMA,854.08
GENCON,235.7
GENESYS,1122.28
GENUSPAPER,351.75
GENUSPOWER,9489.77
GEOJITFSL,1806.76
GESHIP,22557.21
GFLLIMITED,536.07
GGBL,838.27
GHCL,4656.46
GHCLTEXTIL,865.05
GICHSGFIN,815.84
GICL,459.01
GICRE,68930.38
GILLANDERS,194.56
GILLETTE,25972.05
GILT10BETA,23.1
GILT5BETA,25.67
GILT5YBEES,269.21
GINNIFILA,357.67
GIPCL,2450.86
GIRIRAJ,470.04
GJL,245.17
GKENERGY,2575.78
GKSL,966.78
GKWLIMITED,987.46
GLAND,29030.08
GLAXO,39776.54
GLENMARK,67728.19
GLFL,19.58
GLOBAL,520.47
GLOBALE,14.79
GLOBALVECT,253.4
GLOBE,113.06
GLOBECIVIL,286.95
GLOBUSSPR,3226.25
GLOSTERLTD,667.59
GLOTTIS,536.21
GMBREW,2186.45
GMDCLTD,23436.6
GML,28.83
GMMPFAUDLR,4059.64
GMRAIRPORT,101345.05
GNA,1839.58
GNFC,6937.07
GNRL,1251.93
GOACARBON,342.2
GOCLCORP,1606.4
GOCOLORS,1504.25
GODAVARIB,1635.58
GODFRYPHLP,35189.49
GODIGIT,28520.8
GODREJAGRO,11539.74
GODREJCP,109476.94
GODREJIND,32030.14
GODREJPROP,55181.26
GOKEX,5182.24
GOKUL,396.97
GOKULAGRO,6896.18
GOLD1,11811.44
GOLD360,134.33
GOLDADD,2230.99
GOLDBEES,55403.12
GOLDBETA,4185.15
